State,Sexual Orientation Protected,Gender Identity Protected
Alabama,N,N
Alaska,N,N
Arizona,Y,N
Arkansas,N,N
California,Y,Y
Colorado,Y,Y
Connecticut,Y,Y
Delaware,Y,Y
District of Columbia,Y,Y
Florida,Y,N
Georgia,N,N
Hawaii,Y,Y
Idaho,N,N
Illinois,Y,Y
Indiana,N,N
Iowa,Y,N
Kansas,Y,N
Kentucky,Y,N
Louisiana,Y,N
Maine,Y,N
Maryland,Y,Y
Massachusetts,Y,Y
Michigan,N,N
Minnesota,Y,Y
Mississippi,N,N
Missouri,Y,Y
Montana,N,N
Nebraska,Y,N
Nevada,Y,Y
New Hampshire,Y,N
New Jersey,Y,Y
New Mexico,Y,Y
New York,Y,Y
North Carolina,N,N
North Dakota,N,N
Ohio,N,N
Oklahoma,N,N
Oregon,Y,Y
Pennsylvania,N,N
Rhode Island,Y,Y
South Carolina,N,N
South Dakota,N,N
Tennessee,Y,N
Texas,Y,N
Utah,Y,Y
Vermont,Y,Y
Virginia,N,N
Washington,Y,Y
West Virginia,N,N
Wisconsin,Y,N
Wyoming,N,N