State,HateCrimeMentions
District of Columbia,13254
New York,8270
Florida,7036
California,6917
Texas,3934
Massachusetts,1844
Illinois,1728
Pennsylvania,1193
Kansas,1167
Washington,1111
North Carolina,1093
Georgia,1033
Ohio,958
Michigan,900
Connecticut,818
Wisconsin,757
Indiana,683
South Carolina,618
Colorado,616
Oregon,606
Virginia,572
Missouri,564
Arizona,460
Alabama,449
New Jersey,444
Maryland,433
Minnesota,429
Tennessee,380
Kentucky,378
Utah,362
Nevada,343
Oklahoma,284
Louisiana,277
Iowa,242
Idaho,242
Nebraska,229
Arkansas,199
Mississippi,195
New Hampshire,133
New Mexico,113
West Virginia,110
Montana,104
Maine,89
Hawaii,84
Rhode Island,83
Wyoming,64
South Dakota,63
North Dakota,57
Alaska,47
Vermont,28
Delaware,16